"state","year","electricity_price","carbon_emissions","customers","retail_sales","total_electricity"
"Alabama",2020,5.91,NA,2694063.66666667,83449.21816,135870.90175
"Alabama",2019,5.95,NA,2626467.25,88095.11201,142679.43284
"Alabama",2018,6.01,NA,2607908.83333333,90280.45601,145057.99386
"Alabama",2017,6.16,50.987891,2591620.83333333,86241.73002,139964.25012
"Alabama",2016,6.04,55.619153,2574850.83333333,88225.14099,142385.09821
"Alabama",2015,6.03,62.391808,2552738.83333333,88845.54301,152477.42671
"Alabama",2014,6.15,65.591036,2537921.58333333,90493.72702,149340.44709
"Alabama",2013,5.95,64.747869,2524633.25,87852.10702,150572.92386
"Alabama",2012,6.22,66.974549,2515539.83333333,86182.54801,152878.68769
"Alabama",2011,6.25,74.598361,2505191.75,88995.369,156339.20983
"Alabama",2010,6.01,77.414484,2502108.83333333,90862.64502,152150.51206
"Alabama",2009,5.96,66.997271,2491143.25,82844.60198,143255.55561
"Alabama",2008,6.11,81.848255,2491147.08333333,89707.27903,145869.89518
"Alabama",2007,5.27,86.764431,NA,91828.46399,143826.27083
"Alabama",2006,4.9,84.464513,NA,90677.69499,140895.4413
"Alabama",2005,4.52,82.321245,NA,89201.61999,137948.58103
"Alabama",2004,4.15,78.565576,NA,86870.519,137354.77084
"Alabama",2003,3.98,79.111612,NA,83844.22002,137487.222
"Alabama",2002,3.82,78.213969,NA,83067.07798,132920.67
"Alabama",2001,3.79,74.573398,NA,79358.25799,125345.113
"Alaska",2020,16.49,NA,349644.916666667,5925.82893,5924.4281
"Alaska",2019,16.94,NA,345494.75,5818.80504,6070.84313
"Alaska",2018,17.1,NA,342864.166666667,5972.46697,6247.3585
"Alaska",2017,16.34,2.418335,340541.916666667,6185.799,6497.4656
"Alaska",2016,15.22,2.759453,337406.25,6123.20203,6335.03351
"Alaska",2015,14.53,2.95813,334221.666666667,6159.204,6284.9373
"Alaska",2014,15.66,2.914937,333729.75,6164.81201,6042.82963
"Alaska",2013,15.83,2.64714,327759.916666667,6268.21201,6496.82164
"Alaska",2012,16.82,3.139714,325454.666666667,6416.41098,6946.41882
"Alaska",2011,15.71,3.172442,323601.666666667,6319.53996,6871.03279
"Alaska",2010,14.14,3.047657,321149.666666667,6247.03804,6759.5757
"Alaska",2009,13.15,3.161068,318458.75,6270.17098,6702.15939
"Alaska",2008,14.17,3.267934,317244.166666667,6325.94399,6774.83438
"Alaska",2007,12.63,3.282579,NA,6326.61,6821.39162
