series_id,name,units,f,description,copyright,source,iso3166,geography,start,end,updated,value,date,year,month
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.22,2021-02-01,2021,2
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.83,2021-01-01,2021,1
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.55,2020-12-01,2020,12
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.08,2020-11-01,2020,11
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.99,2020-10-01,2020,10
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.27,2020-09-01,2020,9
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.33,2020-08-01,2020,8
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.39,2020-07-01,2020,7
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.22,2020-06-01,2020,6
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.87,2020-05-01,2020,5
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.77,2020-04-01,2020,4
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.36,2020-03-01,2020,3
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.47,2020-02-01,2020,2
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.61,2020-01-01,2020,1
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.17,2019-12-01,2019,12
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.02,2019-11-01,2019,11
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.78,2019-10-01,2019,10
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.5,2019-09-01,2019,9
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.3,2019-08-01,2019,8
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.38,2019-07-01,2019,7
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6,2019-06-01,2019,6
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.27,2019-05-01,2019,5
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.11,2019-04-01,2019,4
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.79,2019-03-01,2019,3
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.48,2019-02-01,2019,2
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.51,2019-01-01,2019,1
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.81,2018-12-01,2018,12
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,6.07,2018-11-01,2018,11
ELEC.PRICE.AL-IND.M,Average retail price of electricity : Alabama : industrial : monthly,cents per kilowatthour,M,Electricity sold to industrial customers; Electricity sold to industrial customers; ,None,"EIA, U.S. Energy Information Administration",USA-AL,USA-AL,200101,202102,2021-04-23T13:33:02-0400,5.92,2018-10-01,2018,10
